Year,Brazil
1993,3
1994,1
1995,1
1996,1
1997,1
1998,1
1999,1
2000,1
2001,3
2002,1
2003,1
2004,1
2005,1
2006,1
2007,2
2008,5
2009,2
2010,4
2011,6
2012,18
2013,10
2014,6
2015,6
2016,2
2017,2
2018,3
2019,3
